CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
165,Male,50.0,85.0,26.0
166,Female,36.0,85.0,75.0
167,,42.0,86.0,20.0
168,Female,33.0,86.0,95.0
169,Female,36.0,87.0,27.0
170,,32.0,87.0,63.0
171,Male,40.0,87.0,13.0
172,Male,28.0,87.0,75.0
173,Male,36.0,87.0,10.0
174,Male,36.0,87.0,92.0
175,,52.0,88.0,
176,Female,,88.0,86.0
177,Male,58.0,88.0,15.0
178,Male,27.0,88.0,69.0
179,Male,,93.0,14.0
180,Male,35.0,93.0,90.0
181,Female,37.0,97.0,32.0
182,Female,32.0,97.0,86.0
183,Male,46.0,98.0,15.0
184,,29.0,98.0,88.0
185,Female,41.0,99.0,39.0
186,Male,30.0,99.0,97.0
187,Female,54.0,101.0,24.0
188,Male,28.0,101.0,68.0
189,Female,41.0,103.0,17.0
190,Female,36.0,103.0,85.0
191,Female,34.0,103.0,23.0
192,Female,32.0,103.0,69.0
193,Male,33.0,113.0,8.0
194,Female,38.0,113.0,91.0
195,Female,47.0,120.0,16.0
196,Female,35.0,120.0,79.0
197,Female,45.0,126.0,28.0
198,Male,32.0,126.0,74.0
199,Male,32.0,137.0,18.0
200,Male,30.0,137.0,83.0
